text,true_label,predicted_label,ensemble_score
"So   let the NPP government appointees look down upon the hardworking and selfless men and women at their own peril .",0,1,0.7745
"In Taiwan   hostess bar ladies   homeless people and migrant workers are some of the overlooked social classes . To many others   they are seen as a group of disgraceful social outcasts . But lately   these underprivileged people have been given a stage to express themselves   with the help of the emerging walking tour trend in Taipei .",0,1,0.9835
"Advocates for the disabled in Haiti say they hope what happened can chip away at the obstacles to justice and social inclusion faced by these most vulnerable citizens of the hemisphere 's poorest nation .",0,1,0.9748
"A massive cleanup and awareness drive was conducted jointly by the LWMC and the Bahria University   Lahore Campus in different localities of Johar Town . The purpose of the drive was to improve state of cleanliness and sensitise poor families to hygienic conditions .",1,0,0.0248
"Those impaired by birth or disabled by man made war   accident or traumatized in a Tsunami too have a niche on the Dance Platform today - to venture out to seek the boundaries the body is able to perform . To what extent then disability is " romanticized " on stage   when differently abled persons dance   remains a question to be answered   after coming to terms with this vital aspect of Contemporary Dance . Judging by the full houses on four consecutive days at the auditorium of The British School   I am now convinced that nATANDA   the only ensemble in Sri Lanka that takes contemporary dance seriously   after hours of practice succeeded in creating a novel experience on stage .",0,1,0.5296
"" Welfare of the masses and improving their living standards is the top priority of the government . Billions of rupees is being spent on programmes for the provision of relief to poor families . A number of programmes for the welfare of downtrodden people and welfare of the common man are continuing in the Punjab   " he said . The CM said that the Punjab Khidmat Card Programme had been launched for the provision of interest-free loans and free vocational training of special persons . " Assistance is being provided to special persons for making them active and useful members of the society   " he said .",0,1,0.9390
"This is an opera about people who are pathetic victims of their circumstances   denied any alternative or escape route . Katya 's tragedy is that she finds a tiny chink of love in the absurd Boris   only to be destroyed by her fear of exposure to a morally rigid community . But Alden never suggests the cramping smallness of a village   where everyone knows everything about everyone else . On this prairie of a stage   Katya seems constitutionally melancholy rather than hopelessly trapped . <h> Related Articles",0,1,0.6833
"Bhopal : A day after Prime Minister Narendra Modi launched 21 electronic mandis across the country to help farmers sell their produce online and do away with middlemen   Madhya Pradesh chief minister Shivraj Singh Chouhan was distributing tomatoes free of cost to poor families in Vidisha   as prices crashed to all-time low   Rs 2 a kg   not enough to recover the sowing cost . Not only the tomatoes   wholesale price of onions too have plumetted to 20 to 30 paise a kg   almost negligible   in several districts including Vidisha   Neemuch and Mandsaur   where farmers can not afford even transportation cost .",1,0,0.1238
"Having gone through a lot as parents   one thing that the foundation seeks to champion is for the government to establish a hospice facility to lessen the burden on women who normally take care of family members whose medical conditions have been declared hopeless .",0,1,0.6252
"Now   we segue to the living . How many of us miss the rare opportunity of showing how much we love them when friends or relatives are sick and ailing and would be much more in need of our comforting presence ?",0,1,0.9234
"" So he tried to fight for a better delivery hours   and eventually it was moved forward to between 11am to noon   " Yau added . " He 's still fighting for those in need in prison   whilst we are still free outside . We should not give up either   " she said .",0,1,0.7340
"The problem of what to do about the Dreamers   as the immigrants are known   landed back in the court system this week after the US Senate debated the matter for several days and failed to approve any legislation .",1,0,0.2315
"Heifer International is a non-profit   non-governmental   humanitarian organisation dedicated to ending world hunger and caring for the earth by providing livestock   tress   training and other related resources to help poor families around the globe to become self-reliant .",0,1,0.8193
"On the pretext of " getting to know how the other side of the world lives   " they initially shared accommodation free of charge with poor families . After befriending the parents   they craftily sought permission to " adopt young girls and boys   " to take to Western countries   making philanthropic approaches and finally exporting young kids to foreign lands . In many cases   such children were forcibly made sex slaves or pornographic ' film actors ' !",1,0,0.1851
"That one person who always needs help - it 's nice to be there for people and having someone there for you when you need them . However   there are a few people who are constantly in need of help and have reached a stage where they ca n't get even the simplest of things done independently . We 're not sure what to call them though   since they always manage to get their work done while you sit there wondering how   even after a day of hard work your checklist remains untouched . We wonder ! Tell them to get an assistant   if they ca n't afford that   there are always interns.",0,1,0.6760
"He said that they have witnessed the tragedy the people of Nepal are currently experiencing . He went on to state that it is an emotional time for all . He said that thousands have lost their lives owing to this earthquake while many have been rendered homeless and destitute .",0,1,0.5829
"I hope the poor families and people who now have to bring there Toyota 's in for RECALL !",0,1,0.4739
"A little bit of funding opened up a world of fun for disabled children at Mabel Pritchard School in Oxford",1,0,0.3162
"" He liked to help people so I thought this could be the last time he 'd be able to help someone in need   " said Ms Lim .",0,1,0.9763
"Jobs on their own are n't sufficient . Little acknowledges that four out of every 10 children in poverty have parents who work   which shows that not all jobs are equal   and not all jobs are good for poor families . But tell him he 's dreaming if he thinks every parent will miraculously be offered the opportunity to take a decently-paid   secure job with child-appropriate scheduling and hours per week   and flexi-time .",0,1,0.9032
"" They have made them to become hopeless and now   in " going to God "   they have ended up being deceived further and their situation is exploited and the society becomes even worse .",1,0,0.1815
"If Buhari were " human   " we would n't need a badly produced   hagiographic documentary to know that . We would feel it in his policies . We would see it in his eagerness to talk to us in moments of national distress . We would sense it in his efforts to soothe the hurt that his policies so cruelly inflict on the poor and the vulnerable . We would discern it from the compunction he shows for all his broken promises .",0,1,0.5223
"In his condolence message   he said   " All our sympathies are with the poor families as we are standing in cohesion with the Egyptian government and the people in this hour of grief . "",0,1,0.9762
"The odd thing is that the creation of these colonies was something which these great men had no doubt whatsoever was for the good of the local African communities who they believed to be much in need of the benefits of " modern civilization " . They expected to be remembered as great benefactors of the continent   but are everywhere now reviled as cruel racists .",1,0,0.0574
"This time McTell performs it with the Crisis Choir and guest vocalist Annie Lennox as part of a project to end homelessness . Crisis was formed 50 years ago as well and today operates 13 centres for over 4 000 homeless persons over Christmas .",1,0,0.0227
"She was right : Food stamps ca n't be used to buy diapers . Mothers can not get diapers from a major federal source of support for poor families   the Women Infants and Children Program   either . There was nowhere for Angie to turn . The impracticality of cloth diapers became obvious : She did n't have a washer   and her local laundry would n't allow her to wash diapers in their machines .",1,0,0.1593
"Emmanuelle Riva in " Amour   " as a woman in her 80s whose mind and body deteriorate after a series of strokes   is even frailer   more vulnerable   and quite defenseless . The first time we saw Riva   in " Hiroshima Mon Amour   " we were struck by her sensual   yet patrician face . Now the sensuality is gone   but the dignity of that countenance remains .",1,0,0.2991
"Not everyday do we come across people like Mrs Jones . Helping a homeless person   much less a man   regardless of their situation   takes courage and effort . Mr Hubbard will forever be grateful that he met Mrs Jones ' family .",0,1,0.9857
"More than 150 volunteers spent the night in ' survival camps ' to highlight the plight of refugees this winter .",1,0,0.4377
"" I believe that medicine is very important to society - as a doctor   I may not always be able to save lives   but I can definitely help those who are sick and in need   " he said .",0,1,0.9847
"Hyderabad -- The Sindh minister for social welfare Shamim Mumtaz says   without economic development we can not improve situation of food security in country . She was addressing participant of an advocacy seminar on Food Security and Livelihood . Shamim Mumtaz said   food security is very important for us especially for the poor families of our country who do not have accessibility to adequate food . She said that Sindh Govt has handed over thousands of acres to power women of backward areas under Benazir Bhutto Shaheed scheme to alleviate poverty . Ms. Samina Sardar   Child Protection Adviser   Plan International Pakistan said that Plan is working under Child Protection and Child Centred Community Development approaches . On the occasion   Mr. Wajid Shams Memon   Mr. Punal Saryio   Mr.   Ashraf Ali   of UN-food &amp; Agriculture Organization   Professor Mohammad Ismail Kumbhar   Anwar Azad and others expressed their views at the seminar .",0,1,0.9189
"Chinese nurse Amy Ding can not understand why migrants would choose to live in the city when they can be in " paradise " .",1,0,0.0408
"The staff members make these blankets in their free time or on their quiet days at the salon . They distribute the items to shelters   orphanages   the homeless and others in need .",0,1,0.8129
"12 . CHRIS HIPKINS ( Labour -- Rimutaka ) to the Minister of Education : Why does she accept some responsibility as Minister of Education for Hon Bill English 's statement that a lot of Kiwis are " pretty damned hopeless " and " they ca n't read and write properly " ?",1,0,0.0224
"The Street Store Campaign is a worldwide initiative that takes place globally   and originated from South Africa in 2014 . It involves the opening of popup stores offering free clothes and shoes for the homeless   serving as a great message in bridging the gap between the rich and poor .",0,1,0.9811
